published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,home_goals,away_goals,p,p_covered
2026-09-18T07:15:29Z,2026-09-18,leagues,1549024,2026-09-18T17:00:00Z,Lyngby,Silkeborg,0-0,0,0,0.1151,0.3788
2026-09-18T07:15:29Z,2026-09-18,leagues,1550133,2026-09-18T18:45:00Z,Monza,Sassuolo,1-1,1,1,0.1110,0.3275
2026-09-18T07:15:29Z,2026-09-18,leagues,1550133,2026-09-18T18:45:00Z,Monza,Sassuolo,0-1,0,1,0.1086,0.3275
2026-09-18T07:15:29Z,2026-09-18,leagues,1550133,2026-09-18T18:45:00Z,Monza,Sassuolo,0-2,0,2,0.1079,0.3275
2026-09-18T07:15:29Z,2026-09-18,leagues,1555059,2026-09-18T17:30:00Z,Neuchatel Xamax FC,Rapperswil,1-1,1,1,0.1006,0.2606
2026-09-18T07:15:29Z,2026-09-18,leagues,1555059,2026-09-18T17:30:00Z,Neuchatel Xamax FC,Rapperswil,2-1,2,1,0.0885,0.2606
2026-09-18T07:15:29Z,2026-09-18,leagues,1555059,2026-09-18T17:30:00Z,Neuchatel Xamax FC,Rapperswil,1-2,1,2,0.0715,0.2606
2026-09-18T07:15:29Z,2026-09-18,leagues,1558226,2026-09-18T18:45:00Z,Polonia Bytom,Ruch Chorzów,1-1,1,1,0.1048,0.2703
2026-09-18T07:15:29Z,2026-09-18,leagues,1558226,2026-09-18T18:45:00Z,Polonia Bytom,Ruch Chorzów,2-1,2,1,0.0869,0.2703
2026-09-18T07:15:29Z,2026-09-18,leagues,1558226,2026-09-18T18:45:00Z,Polonia Bytom,Ruch Chorzów,1-2,1,2,0.0786,0.2703
2026-09-18T07:15:29Z,2026-09-18,leagues,1560247,2026-09-18T17:30:00Z,Puskas Academy,Budapest Honved,1-1,1,1,0.1081,0.2722
2026-09-18T07:15:29Z,2026-09-18,leagues,1560247,2026-09-18T17:30:00Z,Puskas Academy,Budapest Honved,2-1,2,1,0.0938,0.2722
2026-09-18T07:15:29Z,2026-09-18,leagues,1560247,2026-09-18T17:30:00Z,Puskas Academy,Budapest Honved,2-0,2,0,0.0703,0.2722
2026-09-18T07:15:29Z,2026-09-18,leagues,1561935,2026-09-18T17:30:00Z,Rapid Vienna,WSG Wattens,1-1,1,1,0.1118,0.3168
2026-09-18T07:15:29Z,2026-09-18,leagues,1561935,2026-09-18T17:30:00Z,Rapid Vienna,WSG Wattens,2-0,2,0,0.1041,0.3168
2026-09-18T07:15:29Z,2026-09-18,leagues,1561935,2026-09-18T17:30:00Z,Rapid Vienna,WSG Wattens,1-0,1,0,0.1009,0.3168
2026-09-18T07:15:29Z,2026-09-18,leagues,1548535,2026-09-18T18:00:00Z,Rudes,NK Slaven Belupo,1-2,1,2,0.0801,0.2217
2026-09-18T07:15:29Z,2026-09-18,leagues,1548535,2026-09-18T18:00:00Z,Rudes,NK Slaven Belupo,1-1,1,1,0.0731,0.2217
2026-09-18T07:15:29Z,2026-09-18,leagues,1548535,2026-09-18T18:00:00Z,Rudes,NK Slaven Belupo,2-2,2,2,0.0685,0.2217
2026-09-18T07:15:29Z,2026-09-18,leagues,1494768,2026-09-18T17:00:00Z,Sarpsborg 08 FF,KFUM Oslo,1-1,1,1,0.1267,0.3201
2026-09-18T07:15:29Z,2026-09-18,leagues,1494768,2026-09-18T17:00:00Z,Sarpsborg 08 FF,KFUM Oslo,1-0,1,0,0.1025,0.3201
2026-09-18T07:15:29Z,2026-09-18,leagues,1494768,2026-09-18T17:00:00Z,Sarpsborg 08 FF,KFUM Oslo,2-1,2,1,0.0909,0.3201
