published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,p,p_covered
2026-09-22T07:15:52Z,2026-09-22,cups,1638276,2026-09-22T18:00:00Z,Kloetinge,Achilles Veen,3-2,0.0472,0.1380
2026-09-22T07:15:52Z,2026-09-22,cups,1638276,2026-09-22T18:00:00Z,Kloetinge,Achilles Veen,4-2,0.0469,0.1380
2026-09-22T07:15:52Z,2026-09-22,cups,1638276,2026-09-22T18:00:00Z,Kloetinge,Achilles Veen,3-3,0.0439,0.1380
2026-09-22T07:15:52Z,2026-09-22,cups,1638274,2026-09-22T18:00:00Z,Koninklijke HFC,Dovo,1-1,0.1342,0.3812
2026-09-22T07:15:52Z,2026-09-22,cups,1638274,2026-09-22T18:00:00Z,Koninklijke HFC,Dovo,1-0,0.1277,0.3812
2026-09-22T07:15:52Z,2026-09-22,cups,1638274,2026-09-22T18:00:00Z,Koninklijke HFC,Dovo,0-1,0.1193,0.3812
2026-09-22T07:15:52Z,2026-09-22,cups,1640764,2026-09-22T18:45:00Z,Maidstone Utd,Cray Wanderers,0-0,0.1813,0.4869
2026-09-22T07:15:52Z,2026-09-22,cups,1640764,2026-09-22T18:45:00Z,Maidstone Utd,Cray Wanderers,1-0,0.1770,0.4869
2026-09-22T07:15:52Z,2026-09-22,cups,1640764,2026-09-22T18:45:00Z,Maidstone Utd,Cray Wanderers,0-1,0.1286,0.4869
2026-09-22T07:15:52Z,2026-09-22,cups,1588908,2026-09-22T18:00:00Z,Milton Keynes Dons,Crawley Town,1-3,0.0737,0.2161
2026-09-22T07:15:52Z,2026-09-22,cups,1588908,2026-09-22T18:00:00Z,Milton Keynes Dons,Crawley Town,0-3,0.0718,0.2161
2026-09-22T07:15:52Z,2026-09-22,cups,1588908,2026-09-22T18:00:00Z,Milton Keynes Dons,Crawley Town,1-4,0.0706,0.2161
2026-09-22T07:15:52Z,2026-09-22,cups,1588849,2026-09-22T18:00:00Z,Notts County,Grimsby,0-1,0.1364,0.3621
2026-09-22T07:15:52Z,2026-09-22,cups,1588849,2026-09-22T18:00:00Z,Notts County,Grimsby,1-1,0.1165,0.3621
2026-09-22T07:15:52Z,2026-09-22,cups,1588849,2026-09-22T18:00:00Z,Notts County,Grimsby,0-2,0.1092,0.3621
2026-09-22T07:15:52Z,2026-09-22,cups,1588854,2026-09-22T18:00:00Z,Oldham,Fleetwood Town,1-5,0.0491,0.1421
2026-09-22T07:15:52Z,2026-09-22,cups,1588854,2026-09-22T18:00:00Z,Oldham,Fleetwood Town,1-6,0.0486,0.1421
2026-09-22T07:15:52Z,2026-09-22,cups,1588854,2026-09-22T18:00:00Z,Oldham,Fleetwood Town,2-5,0.0444,0.1421
2026-09-22T07:15:52Z,2026-09-22,cups,1588882,2026-09-22T18:00:00Z,Peterborough,Colchester,1-0,0.1329,0.3530
2026-09-22T07:15:52Z,2026-09-22,cups,1588882,2026-09-22T18:00:00Z,Peterborough,Colchester,1-1,0.1242,0.3530
2026-09-22T07:15:52Z,2026-09-22,cups,1588882,2026-09-22T18:00:00Z,Peterborough,Colchester,2-0,0.0959,0.3530
2026-09-22T07:15:52Z,2026-09-22,cups,1588888,2026-09-22T18:00:00Z,Plymouth,Crystal Palace U21,2-1,0.0823,0.2196
2026-09-22T07:15:52Z,2026-09-22,cups,1588888,2026-09-22T18:00:00Z,Plymouth,Crystal Palace U21,3-1,0.0765,0.2196
2026-09-22T07:15:52Z,2026-09-22,cups,1588888,2026-09-22T18:00:00Z,Plymouth,Crystal Palace U21,2-0,0.0608,0.2196
2026-09-22T07:15:52Z,2026-09-22,cups,1638278,2026-09-22T18:00:00Z,Rijnvogels,Vvsb,3-3,0.0502,0.1495
2026-09-22T07:15:52Z,2026-09-22,cups,1638278,2026-09-22T18:00:00Z,Rijnvogels,Vvsb,3-2,0.0501,0.1495
2026-09-22T07:15:52Z,2026-09-22,cups,1638278,2026-09-22T18:00:00Z,Rijnvogels,Vvsb,2-3,0.0492,0.1495
2026-09-22T07:15:52Z,2026-09-22,cups,1638279,2026-09-22T18:00:00Z,RKAV Volendam,Spakenburg,4-4,0.0383,0.1126
2026-09-22T07:15:52Z,2026-09-22,cups,1638279,2026-09-22T18:00:00Z,RKAV Volendam,Spakenburg,3-4,0.0372,0.1126
2026-09-22T07:15:52Z,2026-09-22,cups,1638279,2026-09-22T18:00:00Z,RKAV Volendam,Spakenburg,4-3,0.0371,0.1126
2026-09-22T07:15:52Z,2026-09-22,cups,1588891,2026-09-22T18:00:00Z,Swindon Town,Newport County,1-0,0.2207,0.5357
2026-09-22T07:15:52Z,2026-09-22,cups,1588891,2026-09-22T18:00:00Z,Swindon Town,Newport County,2-0,0.1747,0.5357
2026-09-22T07:15:52Z,2026-09-22,cups,1588891,2026-09-22T18:00:00Z,Swindon Town,Newport County,0-0,0.1403,0.5357
2026-09-22T07:15:52Z,2026-09-22,cups,1588843,2026-09-22T18:00:00Z,Tranmere,Shrewsbury,2-1,0.0970,0.2770
2026-09-22T07:15:52Z,2026-09-22,cups,1588843,2026-09-22T18:00:00Z,Tranmere,Shrewsbury,2-0,0.0932,0.2770
2026-09-22T07:15:52Z,2026-09-22,cups,1588843,2026-09-22T18:00:00Z,Tranmere,Shrewsbury,1-1,0.0868,0.2770
2026-09-22T07:15:52Z,2026-09-22,cups,1640765,2026-09-22T18:45:00Z,Truro City,Merthyr Town,0-0,0.2236,0.5547
2026-09-22T07:15:52Z,2026-09-22,cups,1640765,2026-09-22T18:45:00Z,Truro City,Merthyr Town,1-0,0.1982,0.5547
