published_utc,run_date,comp,fixture_id,kickoff_utc,league,home,away,model,p_HOME_WIN,p_DRAW,p_AWAY_WIN,p_OVER_1_5,p_OVER_2_5,p_UNDER_2_5,p_UNDER_3_5,p_BTTS,p_GOALS_1_3,p_GOALS_2_3,p_UPSET,backed
2026-09-22T07:15:52Z,2026-09-22,cups,1588882,2026-09-22T18:00:00Z,EFL_Trophy_England,Peterborough,Colchester,v3/binary,0.6194,0.0455,0.3352,0.7685,0.5898,0.4264,0.7223,0.4422,0.7155,0.5171,0.1766,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588888,2026-09-22T18:00:00Z,EFL_Trophy_England,Plymouth,Crystal Palace U21,v3/binary,0.8060,0.0901,0.1159,0.8670,0.5919,0.4483,0.6537,0.5635,0.6419,0.5521,0.1009,HOME_WIN
2026-09-22T07:15:52Z,2026-09-22,cups,1638278,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,Rijnvogels,Vvsb,v3/binary,0.3288,0.0533,0.6179,0.9500,0.9203,0.1572,0.6442,0.7887,0.6399,0.5436,0.3313,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1638279,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,RKAV Volendam,Spakenburg,v3/binary,0.1779,0.1994,0.6228,0.9187,0.8835,0.2153,0.4186,0.8071,0.3388,0.2562,0.2761,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588862,2026-09-22T18:00:00Z,EFL_Trophy_England,Rochdale,Liverpool U21,v3/binary,0.5289,0.0506,0.4205,0.9500,0.8190,0.2172,0.4249,0.4255,0.3931,0.3988,0.3417,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588815,2026-09-22T18:00:00Z,EFL_Trophy_England,Salford City,Sheffield Wednesday,v3/binary,0.2491,0.3096,0.4413,0.8615,0.5433,0.4653,0.5397,0.6399,0.5118,0.4282,0.4004,ASIAN_OVER_1_75
2026-09-22T07:15:52Z,2026-09-22,cups,1638281,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,Sportlust '46,Excelsior Maassluis,v3/binary,0.1393,0.3424,0.5183,0.6915,0.4966,0.5329,0.6448,0.3729,0.3835,0.2622,0.2947,
2026-09-22T07:15:52Z,2026-09-22,cups,1638282,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,Staphorst,SC Genemuiden,v3/binary,0.1548,0.3731,0.4721,0.6717,0.4222,0.6356,0.7578,0.5364,0.5621,0.3827,0.3473,
2026-09-22T07:15:52Z,2026-09-22,cups,1588891,2026-09-22T18:00:00Z,EFL_Trophy_England,Swindon Town,Newport County,v3/binary,0.5982,0.1399,0.2619,0.8203,0.6464,0.3931,0.6423,0.5352,0.6358,0.4307,0.3380,ASIAN_OVER_2_0
2026-09-22T07:15:52Z,2026-09-22,cups,1588843,2026-09-22T18:00:00Z,EFL_Trophy_England,Tranmere,Shrewsbury,v3/binary,0.5109,0.1931,0.2960,0.9500,0.8864,0.2951,0.4995,0.7389,0.4779,0.5037,0.4105,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1640765,2026-09-22T18:45:00Z,FA_Cup_England,Truro City,Merthyr Town,v3/binary,0.3336,0.2958,0.3706,0.8306,0.4580,0.5159,0.7385,0.5917,0.7233,0.5815,0.2360,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588872,2026-09-22T18:00:00Z,EFL_Trophy_England,Walsall,Stevenage,v3/binary,0.1920,0.0612,0.7468,0.6247,0.5701,0.4503,0.7252,0.4839,0.5776,0.2949,0.4000,
2026-09-22T07:15:52Z,2026-09-22,cups,1588823,2026-09-22T18:00:00Z,EFL_Trophy_England,Wigan,Blackpool,v3/binary,0.3736,0.1801,0.4463,0.8769,0.6036,0.4149,0.6158,0.7023,0.6096,0.4716,0.4442,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1640766,2026-09-22T18:45:00Z,FA_Cup_England,Wimborne Town,Weston-super-Mare,v3/binary,0.2030,0.1388,0.6583,0.8861,0.5174,0.4378,0.7848,0.4044,0.6906,0.5807,0.0550,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1640767,2026-09-22T18:45:00Z,FA_Cup_England,Wingate & Finchley,Hemel Hempstead Town,v3/binary,0.1801,0.2847,0.5353,0.7410,0.6042,0.3622,0.5346,0.5507,0.4332,0.3232,0.4119,
2026-09-22T07:15:52Z,2026-09-22,cups,1640768,2026-09-22T18:45:00Z,FA_Cup_England,Worksop Town,AFC Telford United,v3/binary,0.7405,0.1153,0.1442,0.9227,0.8231,0.1815,0.3496,0.7383,0.3311,0.2829,0.2789,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,women,1638288,2026-09-22T19:00:00Z,UEFA_Champions_League_Women,Arsenal W,Køge W,v3/binary,0.8457,0.0653,0.0890,0.8631,0.7031,0.3181,0.5347,0.4350,0.5056,0.3543,0.0921,
2026-09-22T07:15:52Z,2026-09-22,women,1638300,2026-09-22T16:45:00Z,UEFA_Champions_League_Women,Bayern Munich W,Manchester City W,v3/binary,0.6762,0.2092,0.1146,0.8357,0.4534,0.5569,0.7854,0.5683,0.6879,0.4392,0.1058,UNDER_3_5
2026-09-22T07:15:52Z,2026-09-22,women,1638310,2026-09-22T19:00:00Z,UEFA_Champions_League_Women,Juventus W,SL Benfica W,v3/binary,0.5275,0.2850,0.1876,0.9201,0.5196,0.5232,0.7458,0.6112,0.6749,0.5546,0.1416,UNDER_3_5
2026-09-22T07:15:52Z,2026-09-22,women,1638331,2026-09-22T19:00:00Z,UEFA_Champions_League_Women,Real Madrid W,Paris Saint Germain W,v3/binary,0.4806,0.1573,0.3622,0.9405,0.4970,0.5453,0.7326,0.3678,0.7246,0.5968,0.1338,UNDER_3_5
